Year,Month,mean,max
2018,1,441.3739291502663,973.0
2019,1,332.80113186191284,744.0
2020,1,241.68268143793804,541.0
2018,2,368.11477607937786,832.0
2019,2,281.9663395851447,662.0
2020,2,207.84008219509246,425.0
2018,3,320.694799372338,616.0
2019,3,271.7860396265088,937.0
2020,3,254.3951731137927,553.0
2018,4,360.1698837209302,1208.0
2019,4,243.1594781995534,500.0
2020,4,528.0882990249188,2101.0
2018,5,328.2123387549075,801.0
2019,5,255.56676557863503,1241.0
2020,5,284.54138124649074,618.0
2018,6,406.0415313225058,974.0
2019,6,340.7457028490699,1041.0
2020,6,250.0574269005848,687.0
2018,7,416.0007894440059,904.0
2019,7,333.4542980267634,743.0
2020,7,305.86683897067087,662.0
2018,8,292.07036870503595,548.0
2019,8,227.99156640053974,406.0
2020,8,210.57609329446063,369.0
2018,9,261.4725287489836,522.0
2019,9,197.48782201405152,394.0
2018,10,486.01633434718934,2230.0
2019,10,251.30370872908188,955.0
2018,11,450.0763429632208,1119.0
2019,11,257.0696745388321,660.0
2017,12,532.1136188271605,1138.0
2018,12,406.17383009763216,853.0
2019,12,285.5542766869781,585.0
