Year,Month,mean,max
2017,12,28.59860923314661,68.0
2018,1,30.44441779589879,81.0
2018,2,26.963435945691625,61.0
2018,3,23.530209617755855,62.0
2018,4,22.79516391536852,64.0
2018,5,21.059232667713708,60.0
2018,6,17.76450789229341,47.0
2018,7,17.094137542277338,46.0
2018,8,17.989660597887166,42.0
2018,9,15.564894358021824,47.0
2018,10,7.7780905201531185,26.0
2018,11,6.943291197958947,26.0
2018,12,7.989564631956912,26.0
2019,1,7.998755656108597,24.0
2019,2,10.83246398410333,35.0
2019,3,9.044398907103826,27.0
2019,4,6.619657116016909,24.0
2019,5,6.802304357745836,50.0
2019,6,5.757408278457197,17.0
2019,7,5.259888926668934,17.0
2019,8,5.260923284286196,18.0
2019,9,4.867025635022825,19.0
2019,10,3.823522765789176,22.0
2019,11,9.731564114607798,34.0
2019,12,9.254709531866892,30.0
2020,1,7.203661844484629,26.0
2020,2,7.070298345210774,23.0
2020,3,9.074432201484148,30.0
2020,4,10.832749326145551,27.0
2020,5,10.628507295173964,430.0
2020,6,6.703643157403083,21.0
2020,7,5.8878777665430855,19.0
2020,8,5.75415088843577,15.0
