Year,Month,mean,max
2017,12,5662.061728395061,12347.0
2018,1,5400.745082062624,11368.0
2018,2,5089.953051643192,11390.0
2018,3,4019.866913331091,7694.0
2018,4,3681.48865355522,16086.0
2018,5,12400.743100740408,25874.0
2018,6,9348.6690647482,22187.0
2018,7,7729.525318597045,17669.0
2018,8,4442.473909131804,7879.0
2018,9,3842.514464970373,7590.0
2018,10,3895.593781683001,10819.0
2018,11,5092.475670653815,13320.0
2018,12,8214.523120089787,21296.0
2019,1,8381.155439827919,18984.0
2019,2,6331.085735586481,17369.0
2019,3,4286.382905982906,8662.0
2019,4,3700.788334901223,7756.0
2019,5,3715.498171846435,7110.0
2019,6,4334.547281323877,11473.0
2019,7,5412.678018223234,12192.0
2019,8,3818.464281696479,6866.0
2019,9,4868.901733427032,17395.0
2019,10,3705.20471281296,8512.0
2019,11,4575.091956726246,10963.0
2019,12,6351.360167099469,15148.0
2020,1,7180.998414855072,19203.0
2020,2,6717.046576336801,15683.0
2020,3,9239.973946533755,28160.0
2020,4,7710.740326975477,16351.0
2020,5,6231.1157433419485,11681.0
2020,6,5592.572565543072,16481.0
2020,7,7859.835676526824,16196.0
2020,8,5161.589504373178,7952.0
