Date,Initialprice,Discount
2019-05-05,2.99,50
2019-07-08,2.99,50
2019-09-08,2.99,20
2019-10-31,2.99,40
2019-11-11,2.99,40
2019-12-02,2.99,40
2020-01-01,2.99,50
2020-01-26,2.99,50
2020-03-05,2.99,50
2020-05-05,2.99,50
2020-05-24,2.99,50
2020-07-08,2.99,60
2019-04-14,17.99,45
2019-07-08,17.99,48
2019-09-11,17.99,40
2019-10-14,17.99,45
2019-10-31,17.99,45
2019-11-11,17.99,45
2019-11-24,17.99,50
2019-12-02,17.99,50
2020-01-01,17.99,50
2020-01-26,17.99,50
2020-05-10,17.99,40
2020-05-24,17.99,50
2020-07-08,17.99,55
2019-05-05,9.99,30
2019-07-08,9.99,35
2019-09-08,9.99,20
2019-10-31,9.99,30
2019-11-11,9.99,30
2019-12-02,9.99,30
2020-01-01,9.99,40
2020-01-26,9.99,40
2020-03-05,9.99,40
2020-05-05,9.99,40
2020-05-24,9.99,40
2020-07-08,9.99,50
2019-05-05,9.99,50
2019-07-08,9.99,50
2019-09-08,9.99,20
2019-10-31,9.99,40
2019-11-11,9.99,40
2019-12-02,9.99,40
2020-01-01,9.99,50
2020-01-26,9.99,50
2020-03-05,9.99,50
2020-05-05,9.99,50
2020-05-24,9.99,50
2020-07-08,9.99,60
