Date,Initialprice,Discount
2019-05-05,19.99,60
2019-07-08,19.99,60
2019-08-13,19.99,60
2019-09-23,19.99,60
2019-12-02,19.99,60
2020-01-01,19.99,60
2020-01-26,19.99,60
2020-02-16,19.99,60
2020-03-30,19.99,60
2020-05-06,19.99,60
2020-07-08,19.99,60
2020-08-12,19.99,60
2019-07-08,29.99,70
2019-08-21,29.99,70
2019-10-31,29.99,70
2019-12-02,29.99,70
2020-01-01,29.99,70
2020-01-26,29.99,70
2020-02-16,29.99,70
2020-04-19,29.99,70
2020-05-05,29.99,70
2020-07-21,29.99,70
2019-05-05,29.99,75
2019-07-08,29.99,75
2019-09-12,29.99,75
2019-12-02,29.99,75
2020-01-01,29.99,75
2020-01-26,29.99,75
2020-02-16,29.99,75
2020-03-30,29.99,75
2020-05-05,29.99,75
2020-06-14,29.99,75
2020-07-08,29.99,75
2019-05-05,29.99,80
2019-07-08,29.99,80
2019-12-02,29.99,80
2020-01-01,29.99,80
2020-01-26,29.99,80
2020-02-16,29.99,80
2020-05-05,29.99,80
2020-07-08,29.99,80
2019-05-05,19.99,70
2019-07-08,19.99,70
2019-10-31,19.99,70
2019-12-02,19.99,70
2020-01-01,19.99,70
2020-01-26,19.99,70
2020-02-16,19.99,70
2020-05-05,19.99,70
2020-07-08,19.99,70
2019-05-05,29.99,70
2019-07-08,29.99,70
2019-10-31,29.99,70
2019-12-02,29.99,70
2020-01-01,29.99,70
2020-01-26,29.99,70
2020-02-16,29.99,70
2020-05-05,29.99,70
2020-07-08,29.99,70
2019-05-05,29.99,77
2019-07-08,29.99,77
2019-09-12,29.99,77
2019-10-31,29.99,77
2019-12-02,29.99,77
2020-01-01,29.99,77
2020-01-26,29.99,77
2020-02-16,29.99,77
2020-03-30,29.99,77
2020-05-05,29.99,77
2020-06-14,29.99,77
2020-07-08,29.99,77
2019-05-05,29.99,50
2019-07-08,29.99,50
2019-10-31,29.99,50
2019-12-02,29.99,50
2020-01-01,29.99,50
2020-01-26,29.99,50
2020-02-16,29.99,50
2020-05-05,29.99,75
2020-07-08,29.99,75
2019-05-05,19.99,70
2019-07-08,19.99,70
2019-10-31,19.99,70
2019-12-02,19.99,70
2020-01-01,19.99,70
2020-01-26,19.99,70
2020-02-16,19.99,70
2020-05-05,19.99,70
2020-07-08,19.99,70
2019-05-05,19.99,75
2019-07-08,19.99,75
2019-09-12,19.99,75
2019-12-02,19.99,75
2020-01-01,19.99,75
2020-01-26,19.99,75
2020-02-16,19.99,75
2020-03-30,19.99,75
2020-05-05,19.99,75
2020-06-14,19.99,75
2020-07-08,19.99,75
2019-07-08,19.99,75
2019-09-12,19.99,75
2019-12-02,19.99,75
2020-01-01,19.99,75
2020-01-26,19.99,75
2020-02-16,19.99,75
2020-03-30,19.99,75
2020-05-05,19.99,75
2020-06-14,19.99,75
2020-07-08,19.99,75
2019-05-05,39.99,65
2019-07-08,39.99,65
2019-08-04,39.99,65
2019-12-02,39.99,75
2020-01-01,39.99,75
2020-01-26,39.99,75
2020-02-16,39.99,75
2020-04-25,39.99,75
2020-05-05,39.99,75
2020-07-08,39.99,75
2019-05-05,29.99,75
2019-07-08,29.99,75
2019-08-04,29.99,75
2019-12-02,29.99,75
2020-01-01,29.99,75
2020-01-26,29.99,75
2020-02-16,29.99,75
2020-05-05,29.99,75
2020-07-08,29.99,75
2019-05-05,29.99,75
2019-05-16,29.99,75
2019-07-08,29.99,75
2019-10-06,29.99,75
2019-10-31,29.99,75
2019-12-02,29.99,75
2020-01-01,29.99,75
2020-01-26,29.99,75
2020-02-16,29.99,75
2020-05-05,29.99,75
2020-07-08,29.99,75
