publisher,publisher_id,num_languages,%_positive_reviews,RPR
(none),-1290466958,1.0,73.23529411764706,3.663596504134421
11 bit studios,-1581693992,12.0,92.92458195882152,4.64855337462839
1C Entertainment,-205584709,5.8,84.19216690081518,8.320674449610502
1C Game Studios,-183215159,6.0,78.58472998137802,1.5720090014278458
1C-SoftClub,-766361598,8.75,86.15444586777313,9.637054918845608
2D Heroes,790619568,1.0,90.0,18.03607214428857
2K,-12454423,6.848484848484849,78.89939091130702,4.933060320629706
2tainment GmbH,1099554535,2.0,38.888888888888886,1.6674077470731217
38 Studios,-1397811590,5.0,88.4461085851832,4.424517688103212
3909,682328859,9.0,96.54194179505993,9.663858037543536
3D Avenue,-1072383612,1.0,100.0,20.04008016032064
5 Lives Studios,1796314711,7.0,75.75962187711006,2.5261627834981684
505 Games,-1958266213,10.666666666666666,82.24867281924536,5.003977982374242
89AM Studio,-1092507127,1.0,77.77777777777779,15.586729013582724
8Floor,-1076726378,3.8333333333333335,75.54561886609572,15.139402578375893
@unepic_fran,1132129901,16.0,85.7976653696498,6.604901106208607
A.Y.std,-948624877,14.0,67.96536796536796,8.506303875515389
ACE,665697917,6.5,61.9145226651588,10.531805088403642
AGM PLAYISM,-1867390449,4.0,96.68943664075124,7.252926171314049
AL-GAME,-1150934405,2.0,20.0,20.2020202020202
Abbey Games,1279044435,5.0,85.02198184094122,6.202131468593555
Abstractive Works,-1507971380,1.0,6.666666666666667,2.229654403567447
Acid Wizard Studio,-2066099970,6.0,94.39328277356448,6.297083573953601
Activision,-1606173463,5.76,79.90194949845846,3.488458451162876
Activision Value Inc.,-2128555757,1.0,84.31208053691275,14.075472543725
Adriaan de Jongh,-519778711,21.0,96.88090737240076,12.12527000906142
Adult Swim Games,-326115944,5.25,93.27265329199233,5.318673478065752
Aerosoft GmbH,1342106944,6.5,62.85484157500899,2.3982909926922518
Afterthought LLC,85794591,1.0,80.00374695559857,4.0021884420009295
Akella,1564401003,2.0,56.55430711610487,3.772802342635415
Aksys Games,-286491040,2.0,89.69957081545064,1.495242053933166
Alastair John Jack,-1166569980,1.0,75.67567567567568,25.30959052698183
Alawar Premium,1683024160,11.0,71.86860479114,6.660669698529887
Alda Games,1882088196,10.0,76.31578947368422,15.29374538550786
Alekseev,-1732442396,2.5,37.66233766233766,6.863523057362551
Almost Human Games,828570380,1.0,92.00001412190025,4.997401146333207
Amanita Design,2137758631,15.0,94.5380063723259,9.463263901133724
Amaterasu Software,-631830721,1.0,47.765151515151516,48.247627793082344
Amistech Games,576259595,1.0,91.49330042313116,6.103622443170858
Anamik Majumdar,1991497936,1.0,0.0,0.0
Anate Studio,834589861,4.0,54.54545454545454,7.80335544284042
AndrÃƒÆ’Ã‚Â© Bertaglia,-783890842,1.5,10.0,5.025125628140704
Anea_Duo_Dev,289734902,3.5,64.7985347985348,14.418120326704496
Annapurna Interactive,164522279,11.0,93.86655011655012,4.695675343499256
Another Indie,665628195,9.0,78.92249527410208,7.9001496770872945
Anvil Game Studios,1706803794,10.0,88.93758500831193,4.449103802316755
Apoapsis Studios,-1990812518,1.0,83.07756117793447,5.195594820383644
App Holdings,-1868975604,4.0,73.34200260078023,6.116930992558818
Aquiris Game Studio,-1622004375,14.0,71.08140947752126,5.928391115723207
Arc System Works,506680706,5.0,94.99116087212728,3.16742783835036
Ardi Studio,69121037,1.0,77.08333333333333,77.86195286195286
Armor Games Studios,8406446,1.0,96.3914707490432,9.648795870775094
Art-Pulsar,1012121261,3.0,31.57894736842105,10.561520859003696
Artur Rezende,-1294925831,2.0,33.33333333333333,33.67003367003367
Asmodee Digital,776691464,4.333333333333333,83.96742323915255,9.501660418313739
Aspyr,802383246,7.636363636363637,84.16398181810581,4.209920372446235
Asteristic Game Studio,1238772547,7.0,90.98039215686276,15.188713214835186
Asteroid Base,721423543,11.0,94.95374264087468,6.334472491052347
Asymmetric,975750470,1.0,97.90575916230368,8.908622307761936
Atari,977065251,6.333333333333333,69.35227976336331,8.761673828324758
"Atari, Inc.",1071794738,6.0,84.67153284671532,4.235694489580557
AtomTeam,1027900230,2.0,85.12206356517734,5.67858996432137
Atomic Fabrik,-64888645,1.0,47.05882352941176,23.647650014779774
AutoAttack Games,1208424265,14.0,78.1198003327787,3.907943988633252
Autumn Games,-254257364,7.0,95.06220341156856,9.51573607723409
Avalanche Studios,1730712100,9.0,84.59954969443551,4.23209353148752
Axolot Games,-170128326,11.0,90.87832191208425,4.546189190199312
BANDAI NAMCO Entertainment,-1127678441,8.8,83.50590231552704,2.2450941849488717
Back To Basics Gaming,1004450850,1.0,57.823095732018466,54.85404827507068
BadWolf Games,577399518,2.0,66.66666666666666,6.673340006673339
Badim,2099769162,4.0,78.57142857142857,15.74577726882336
Bandai Namco,-1487461182,7.0,60.25386751289171,2.009131961083418
Bankroll Studios,-1294185094,15.0,63.59265734265735,2.5447241833796457
Bare Mettle Entertainment,332554328,1.0,81.12643678160919,5.412037143536304
Batterystaple Games,-1265408931,9.0,93.8033228558599,6.257726674840554
BattleGoat Studios,-466288173,4.0,74.58471760797342,3.731101431114228
Beam Team Pty Ltd,329435999,1.0,75.01269357705002,5.004182360043363
BeamNG,1810330040,1.0,95.50003820001528,3.8215301400566335
Beamdog,-998022687,9.75,90.66281431860497,4.535408420140319
Beatshapers,-1894529190,1.0,69.23076923076923,13.87390164945275
Bedtime Digital Games,-1765634126,8.5,80.63214257172541,14.97871255617003
Behaviour Digital Inc.,-1396501487,13.0,82.32258347882421,4.118188268075249
Bennett Foddy,1863324216,5.0,83.30254041570439,10.425849864293417
Berserk Games,1644341257,1.0,96.07727570399476,4.806266918659068
Bethesda Softworks,-950390578,6.833333333333333,85.10308827509839,5.050281603607824
Bethesda-Soft,-972859873,7.0,88.28217421082124,4.41631686897555
Bethesda-Softworks,-2002108121,1.0,91.55756207674943,18.34820883301592
Big Ant Studios,1519918981,1.0,74.13080649757765,2.802802020261938
Bigben Interactive,-323572342,11.666666666666666,74.23977225876985,1.8272338323564548
Bitbox Ltd.,-2063578894,10.5,59.95855117180432,2.7001556401939864
Black Eye Games,49363197,8.0,70.33248081841433,3.518383232536985
Black Lime Studio,1984387919,2.0,72.62773722627736,73.36135073361349
Black Maple Games,-312898783,9.0,83.28048428942058,4.385491537094292
Black Shell Media,-1006202660,1.0,91.2280701754386,18.28217839187146
Blake Fix,-1047088120,1.0,93.75,23.49624060150376
BlankMediaGames,-1761237127,2.0,88.82091814638372,17.79978319566808
Blue Bottle Games,-1273582057,1.0,89.42632170978627,5.965731935275935
Blue Brain Games,-936766213,13.0,87.67967145790554,4.386176661225891
Blue Isle Studios,-706154466,5.0,64.80177843645795,2.5931083808106425
Bohemia Interactive,1799739398,7.571428571428571,76.51532172957991,7.1426961540186245
Bossa Studios,370177755,7.0,71.79452713931934,5.370574897283651
Boxelware,-1851465177,2.0,90.7563025210084,5.044819484213919
Brace Yourself Games,-1984374185,11.0,96.246854141591,6.420737434395663
BrainStrainStudios,801581289,1.0,60.0,20.06688963210702
Brightrock Games,1582441306,9.0,85.97208035410283,2.866691575661982
Brilliant Game Studios,-960042362,2.0,70.4032258064516,4.696679506767952
Brilliant Skies Ltd.,-1348533360,1.0,90.6274206041828,6.045858612687312
"CAPCOM Co., Ltd.",-697851561,9.8,85.85432953799526,5.563936069915647
