appid,Year,Month,mean,max
10,2018,1,14995.881181318682,27622.0
10,2019,1,12585.605670394216,23180.0
10,2020,1,10168.414694613475,19141.0
10,2018,2,14400.271374966496,26457.0
10,2019,2,11725.759314456036,21498.0
10,2020,2,9656.27286914766,17762.0
10,2018,3,13971.517322569794,25908.0
10,2019,3,10417.523075178591,19348.0
10,2020,3,12524.282062780268,30626.0
10,2018,4,11748.146559739656,22806.0
10,2019,4,9607.983263108614,17386.0
10,2020,4,17784.303571428572,31930.0
10,2018,5,10850.518564217611,18895.0
10,2019,5,9246.120592858746,16690.0
10,2020,5,15361.6783632287,29882.0
10,2018,6,10961.674947759462,18721.0
10,2019,6,9143.612676879897,15091.0
10,2020,6,12085.922610015174,21656.0
10,2018,7,11144.56986825808,18875.0
10,2019,7,9300.896536212324,15371.0
10,2020,7,11572.925098259404,18212.0
10,2018,8,10451.217083847794,17194.0
10,2019,8,9154.807947019868,14971.0
10,2020,8,10848.77603257708,16560.0
10,2018,9,9737.35634718032,17597.0
10,2019,9,8447.959245813327,14731.0
10,2018,10,9761.701056417172,18183.0
10,2019,10,8277.132211809869,14937.0
10,2018,11,10377.48359800626,20646.0
10,2019,11,8764.920664638428,16085.0
10,2017,12,14083.812114197532,25828.0
10,2018,12,11580.269260962206,21865.0
10,2019,12,9569.470977882564,18365.0
100,2018,1,83.36462585034013,201.0
100,2019,1,67.56598639455783,153.0
100,2020,1,55.34710743801653,117.0
100,2018,2,79.10112359550561,211.0
100,2019,2,55.72113943028486,132.0
100,2020,2,50.50887573964497,89.0
100,2018,3,61.9744623655914,121.0
100,2019,3,46.59396433470508,96.0
100,2020,3,63.312242090784046,141.0
100,2018,4,48.57799442896936,105.0
100,2019,4,42.85714285714285,105.0
100,2020,4,90.22442244224422,163.0
100,2018,5,47.40860215053763,105.0
100,2019,5,51.02758620689655,156.0
100,2020,5,65.93178717598909,133.0
100,2018,6,68.7134909596662,195.0
100,2019,6,51.66957787481805,132.0
100,2020,6,52.20169252468265,115.0
100,2018,7,72.44384303112314,175.0
100,2019,7,66.38620689655173,141.0
100,2020,7,58.886792452830186,105.0
100,2018,8,46.17972972972973,88.0
100,2019,8,49.41904761904762,93.0
100,2020,8,47.614583333333336,76.0
100,2018,9,42.07531380753138,85.0
100,2019,9,41.32198581560284,79.0
100,2018,10,41.902571041948576,92.0
100,2019,10,39.18528610354223,80.0
100,2018,11,57.14767932489451,203.0
100,2019,11,45.29478138222849,125.0
100,2017,12,95.60648148148148,222.0
100,2018,12,71.39001349527665,168.0
100,2019,12,58.72925170068027,128.0
10090,2018,1,920.7133418337776,1608.0
10090,2019,1,666.0344086021505,1235.0
10090,2020,1,730.0247541539505,1292.0
10090,2018,2,900.6946083690987,1672.0
10090,2019,2,625.9490746491119,1110.0
10090,2020,2,719.2333172147002,1236.0
10090,2018,3,912.6548980049316,2114.0
10090,2019,3,650.8718970621726,1110.0
10090,2020,3,896.3673469387755,1601.0
10090,2018,4,778.9996512033484,1313.0
10090,2019,4,738.062617481203,1523.0
10090,2020,4,1118.425223516662,1612.0
10090,2018,5,742.9564729638771,1286.0
10090,2019,5,677.557736193519,1109.0
10090,2020,5,1288.0365922101246,2251.0
10090,2018,6,821.6825986078886,1368.0
10090,2019,6,803.9843437316068,1398.0
10090,2020,6,915.016717325228,1384.0
10090,2018,7,874.1665914730431,1355.0
10090,2019,7,835.2282633371169,1281.0
10090,2020,7,869.2476393884892,1341.0
10090,2018,8,754.1385203507983,1145.0
10090,2019,8,730.7512085441259,1091.0
10090,2020,8,788.5734693877552,1076.0
10090,2018,9,760.3609756097561,1386.0
10090,2019,9,622.4170960187354,1132.0
10090,2018,10,731.5327628912407,1235.0
10090,2019,10,657.2457904848005,1111.0
10090,2018,11,738.4479118329466,1349.0
10090,2019,11,755.8761602631888,1364.0
10090,2017,12,1010.0073302469136,1673.0
10090,2018,12,704.2500280552126,1287.0
10090,2019,12,739.397156718944,1286.0
10180,2018,1,543.9831583804361,1092.0
10180,2019,1,501.9951357466063,981.0
10180,2020,1,421.89648547858513,778.0
10180,2018,2,542.1423974255832,1088.0
10180,2019,2,462.3391703924491,966.0
10180,2020,2,394.4855624018364,748.0
10180,2018,3,599.7206409681758,1500.0
10180,2019,3,470.0680860753729,959.0
10180,2020,3,534.4442694859971,1244.0
10180,2018,4,466.34372093023256,949.0
10180,2019,4,443.2699941280094,988.0
10180,2020,4,786.1529855775711,1506.0
10180,2018,5,437.4470495849226,793.0
10180,2019,5,402.0944020066127,849.0
