id,publisher,publisher_id
570,Valve,-2110134855
730,Valve,-2110134855
359550,Ubisoft,-2080260409
271590,Rockstar Games,976899290
238960,Grinding Gear Games,-376658216
230410,Digital Extremes,2100296326
440,Valve,-2110134855
252950,"Psyonix, Inc.",-1951535175
252490,Facepunch Studios,-1229421312
624090,SEGA,1417143641
346110,Studio Wildcard,1767915848
4000,Valve,-2110134855
8930,2K,-12454423
8930,Aspyr,802383246
218620,Starbreeze Publishing AB,1858027147
227300,SCS Software,1574209807
107410,Bohemia Interactive,1799739398
365590,Ubisoft,-2080260409
433850,Daybreak Game Company,826812775
377160,Bethesda Softworks,-950390578
289070,2K,-12454423
289070,Aspyr,802383246
444090,Hi-Rez Studios,-1084371615
105600,Re-Logic,-1792943295
72850,Bethesda Softworks,-950390578
304930,Smartly Dressed Games,2141918675
476620,Activision,-1606173463
10,Valve,-2110134855
504370,Stunlock Studios,1197361948
292030,CD PROJEKT RED,-2087993330
381210,Behaviour Digital Inc.,-1396501487
236850,Paradox Interactive,-1113012495
489830,Bethesda Softworks,-950390578
306130,Bethesda Softworks,-950390578
236390,Gaijin Entertainment,-1171432744
435150,Larian Studios,-23583149
394360,Paradox Interactive,-1113012495
251570,The Fun Pimps Entertainment LLC,532134693
281990,Paradox Interactive,-1113012495
550,Valve,-2110134855
594570,SEGA,1417143641
594570,Feral Interactive,-1186516368
221380,Xbox Game Studios,-1251139035
363970,Playsaurus,1440640084
582660,Kakao Games Europe B.V.,-1244068221
255710,Paradox Interactive,-1113012495
214950,SEGA,1417143641
386360,Hi-Rez Studios,-1084371615
294100,Ludeon Studios,-1892265282
413150,ConcernedApe,-1743698508
582160,Ubisoft,-2080260409
322330,Klei Entertainment,-686631345
577800,2K,-12454423
444200,Wargaming Group Limited,-681768071
447020,Focus Home Interactive,-1378653689
550650,NS STUDIO,1568489896
427520,Wube Software LTD.,295184454
49520,2K,-12454423
49520,Aspyr,802383246
291550,Ubisoft,-2080260409
48700,TaleWorlds Entertainment,551950037
374320,"FromSoftware, Inc.",853677262
374320,BANDAI NAMCO Entertainment,-1127678441
431960,Kristjan Skutta,-589826632
268500,2K,-12454423
268500,Feral Interactive,-1186516368
311290,THQ Nordic,424105505
240,Valve,-2110134855
39210,Square Enix,-1704654576
203770,Paradox Interactive,-1113012495
356190,WB Games,-2025075935
253920,Topware Interactive ACE,1943235643
242760,Endnight Games Ltd,678011284
250900,"Nicalis, Inc.",1160059440
227940,RETO MOTO,2014598845
485510,"KOEI TECMO GAMES CO., LTD.",-482308940
219990,Crate Entertainment,-122158537
698780,Team Salvato,1709851920
259340,Topware Interactive,-156903192
231430,SEGA,1417143641
231430,Feral Interactive,-1186516368
291480,My.com,-463401701
359320,Frontier Developments,473715958
